Close,High,Open,Low,Volume
1656.780029,1669.51001,1664.290039,1656.02002,2430670000
1630.47998,1652.540039,1652.540039,1629.050049,3219190000
1634.959961,1641.180054,1630.25,1627.469971,2784010000
1638.170044,1646.410034,1633.5,1630.880005,2527550000
1632.969971,1640.079956,1638.890015,1628.050049,2734300000
1639.77002,1651.349976,1635.949951,1633.410034,3731610000
1653.079956,1655.719971,1640.719971,1637.410034,3312150000
1655.079956,1659.170044,1653.280029,1653.069946,2957110000
1655.170044,1664.829956,1657.439941,1640.619995,3123880000
1671.709961,1672.400024,1656.849976,1656.849976,3102780000
1683.98999,1684.089966,1675.109985,1675.109985,3691800000
1689.130005,1689.130005,1681.040039,1678.699951,3135460000
1683.420044,1689.969971,1689.209961,1681.959961,3106290000
1687.98999,1688.72998,1685.040039,1682.219971,2736500000
1697.599976,1704.949951,1691.699951,1691.699951,3079800000
1704.76001,1705.52002,1697.72998,1697.72998,2774240000
1725.52002,1729.439941,1705.73999,1700.349976,3989760000
1722.339966,1729.859985,1727.339966,1720.199951,3740130000
1709.910034,1725.22998,1722.439941,1708.890015,5074030000
1701.839966,1711.439941,1711.439941,1697.099976,3126950000
1697.420044,1707.630005,1702.599976,1694.900024,3268930000
1692.77002,1701.709961,1698.02002,1691.880005,3148730000
1698.670044,1703.849976,1694.050049,1693.109985,2813930000
1691.75,1695.52002,1695.52002,1687.109985,2951700000
1681.550049,1687.26001,1687.26001,1674.98999,3308630000
1695,1696.550049,1682.410034,1682.069946,3238690000
1693.869995,1693.869995,1691.900024,1680.339966,3148600000
1678.660034,1692.349976,1692.349976,1670.359985,3279650000
1690.5,1691.939941,1678.790039,1677.329956,2880270000
1676.119995,1687.150024,1687.150024,1674.699951,2678490000
1655.449951,1676.790039,1676.219971,1655.030029,3569230000
1656.400024,1662.469971,1656.98999,1646.469971,3577840000
1692.560059,1692.560059,1660.880005,1660.880005,3362300000
1703.199951,1703.439941,1691.089966,1688.52002,2944670000
1710.140015,1711.030029,1699.859985,1692.130005,2580580000
1698.060059,1711.569946,1709.170044,1695.930054,3327740000
1721.540039,1721.76001,1700.48999,1700.48999,3486180000
